vType_id;vType_vClass;trip_depart;trip_departLane;trip_departSpeed;trip_from;trip_id;trip_to;trip_type
;;895.88;best;max;-1046908813#1;veh18454;1049880652;veh_passenger
;;895.92;best;max;-1219040369#2;veh18455;83229105#1;veh_passenger
;;895.97;best;;-279806903#1;veh18456;1390433024;veh_passenger
;;896.02;best;;1213538109#1;veh18457;1044804359;veh_passenger
;;896.07;best;max;-1084651013;veh18458;1391153330#1;veh_passenger
;;896.12;best;;1386066563;veh18459;1219080035;veh_passenger
;;896.17;best;;1071860425#1;veh18460;379260347#1;veh_passenger
;;896.22;best;;131938203#9;veh18461;-1368961209;veh_passenger
;;896.26;best;max;-1217163669#1;veh18462;1216993035;veh_passenger
;;896.31;best;max;-1389744352;veh18463;-1054356716#0;veh_passenger
;;896.36;best;max;-1383763448;veh18464;898458126#0;veh_passenger
;;896.41;best;;-1050556374#0;veh18465;1055299300;veh_passenger
;;896.46;best;;355212053#1;veh18466;-442582332#12;veh_passenger
;;896.51;best;max;-988202996;veh18467;-44770393#15;veh_passenger
;;896.56;best;max;1219080063;veh18468;1302316764;veh_passenger
;;896.60;best;max;-988553247;veh18469;1389800142;veh_passenger
;;896.65;best;max;-1217169294;veh18470;-695578319;veh_passenger
;;896.70;best;max;479525054#0;veh18471;1096230021;veh_passenger
;;896.75;best;max;-1083972163#1;veh18472;399232715;veh_passenger
;;896.80;best;max;-1046546423;veh18473;-1115128582;veh_passenger
;;896.85;best;;1376418855#0;veh18474;-279806915#33;veh_passenger
;;896.90;best;;-158370310#5;veh18475;-1218993671;veh_passenger
;;896.94;best;max;486948301#0;veh18476;1372273279#0;veh_passenger
;;896.99;best;max;-1219075134;veh18477;1055017955;veh_passenger
;;897.04;best;;1131520246#1;veh18478;184751276#5;veh_passenger
;;897.09;best;;-1055088770#0;veh18479;1216405069;veh_passenger
;;897.14;best;max;1217255690;veh18480;-902926795#0;veh_passenger
;;897.19;best;max;-859182549#1;veh18481;1383759260;veh_passenger
;;897.24;best;max;-1218451457;veh18482;22838314#2;veh_passenger
;;897.28;best;;803620027#2;veh18483;548937843#0;veh_passenger
;;897.33;best;;-862759150#1;veh18484;-689713863#3;veh_passenger
;;897.38;best;;26299191#1;veh18485;1216000779#1;veh_passenger
;;897.43;best;max;-1322053903;veh18486;1041999198#2;veh_passenger
;;897.48;best;max;1219079842;veh18487;1102490121;veh_passenger
;;897.53;best;;302557885#2;veh18488;-252028106#0;veh_passenger
;;897.58;best;max;1046101239#0;veh18489;-548937849#2;veh_passenger
;;897.62;best;max;1217163715;veh18490;158366236#21;veh_passenger
;;897.67;best;;-320047928#7;veh18491;-1043849485#1;veh_passenger
;;897.72;best;;641793526#16;veh18492;1388731583;veh_passenger
;;897.77;best;;-258649209#1;veh18493;1366470615#2;veh_passenger
;;897.82;best;;1053935169#4;veh18494;1054354513;veh_passenger
;;897.87;best;max;1379636774#0;veh18495;27211094#1;veh_passenger
;;897.92;best;max;-221853655#3;veh18496;-160327081#4;veh_passenger
;;897.96;best;;-548937810#2;veh18497;-898458121#2;veh_passenger
;;898.01;best;max;-1219040360;veh18498;-132061363#0;veh_passenger
;;898.06;best;max;-1051074687#2;veh18499;-1215345228;veh_passenger
;;898.11;best;;-569598153#3;veh18500;-1218440518#0;veh_passenger
;;898.16;best;;-1053935948#0;veh18501;1089980516;veh_passenger
;;898.21;best;;-158718330#3;veh18502;1050950564#1;veh_passenger
;;898.26;best;max;1382910958;veh18503;1049880649#1;veh_passenger
;;898.30;best;max;1071867063;veh18504;1046397854#1;veh_passenger
;;898.35;best;max;-1046119827;veh18505;1218443869;veh_passenger
;;898.40;best;;-922333617#0;veh18506;1217254944;veh_passenger
;;898.45;best;;27211097#10;veh18507;-1377411407;veh_passenger
;;898.50;best;;158315143#16;veh18508;-1218993517;veh_passenger
;;898.55;best;;-890222594#2;veh18509;131709941#11;veh_passenger
;;898.59;best;;-1201026112#0;veh18510;1051068187#5;veh_passenger
;;898.64;best;;218857109#11;veh18511;1055069121#1;veh_passenger
;;898.69;best;;378249526#0;veh18512;-1043781989#0;veh_passenger
;;898.74;best;max;1370252437#0;veh18513;1049706463;veh_passenger
;;898.79;best;;184751276#5;veh18514;-858852301#2;veh_passenger
;;898.84;best;max;-1051244383;veh18515;1220230508;veh_passenger
;;898.89;best;;158675246#19;veh18516;1050106650;veh_passenger
;;898.93;best;max;1366539276#0;veh18517;158306191#2;veh_passenger
;;898.98;best;max;1216993030;veh18518;131937288;veh_passenger
;;899.03;best;max;1391756000;veh18519;1047710057;veh_passenger
;;899.08;best;;-1044700241#3;veh18520;-682514747#15;veh_passenger
;;899.13;best;max;-1219041025;veh18521;1050991025#1;veh_passenger
;;899.18;best;;689730984#10;veh18522;585630247#14;veh_passenger
;;899.23;best;;962174890#0;veh18523;-378246865#1;veh_passenger
;;899.27;best;;-1383716087#0;veh18524;1051074684;veh_passenger
;;899.32;best;;158718366#3;veh18525;813609098#1;veh_passenger
;;899.37;best;max;-1046101238#2;veh18526;902920451;veh_passenger
;;899.42;best;max;987968753;veh18527;1388473258;veh_passenger
;;899.47;best;max;1071872424#0;veh18528;1042925583#1;veh_passenger
;;899.52;best;;682514747#4;veh18529;-322248001;veh_passenger
;;899.57;best;max;-1220230508;veh18530;1266142058#4;veh_passenger
;;899.61;best;;1348658737#2;veh18531;1378635655;veh_passenger
;;899.66;best;;229908906#0;veh18532;-894018164#0;veh_passenger
;;899.71;best;;1384921350#8;veh18533;-1219041017;veh_passenger
;;899.76;best;max;-1387952621#1;veh18534;1220468020;veh_passenger
;;899.81;best;;-319423453#23;veh18535;83229105#19;veh_passenger
;;899.86;best;max;-1218977709;veh18536;1387969904;veh_passenger
;;899.91;best;max;-1218993516;veh18537;1041935623#2;veh_passenger
;;899.95;best;max;-1379257258;veh18538;1368323226;veh_passenger
;;900.00;best;;-231770267;veh18539;802121098#0;veh_passenger
;;900.05;best;;447849571#4;veh18540;1369161865#2;veh_passenger
;;900.10;best;;-1199349183;veh18541;219900680#7;veh_passenger
;;900.15;best;;1057796824#1;veh18542;902920473#8;veh_passenger
;;900.20;best;max;-1041989459#2;veh18543;466857086#0;veh_passenger
;;900.25;best;max;-1377375590;veh18544;989047496;veh_passenger
;;900.29;best;;315097176#0;veh18545;849827153#0;veh_passenger
;;900.34;best;;132070859#2;veh18546;1376418855#1;veh_passenger
;;900.39;best;max;-1055098841;veh18547;680419912#4;veh_passenger
;;900.44;best;;-225803543#2;veh18548;1083972166;veh_passenger
;;900.49;best;max;1090071012;veh18549;1392103445;veh_passenger
;;900.54;best;;1053907522;veh18550;355212040#0;veh_passenger
;;900.59;best;;-322244178#0;veh18551;824173704#1;veh_passenger
;;900.63;best;;-689713863#4;veh18552;988530890;veh_passenger
;;900.68;best;;158366236#16;veh18553;319899816;veh_passenger
;;900.73;best;;1217028514#0;veh18554;1303486399#2;veh_passenger
;;900.78;best;max;-1430223646#1;veh18555;1046482197#1;veh_passenger
;;900.83;best;;1384258714;veh18556;1092272097;veh_passenger
;;900.88;best;max;1368291809#0;veh18557;-1431097027;veh_passenger
;;900.93;best;;-219900680#8;veh18558;1371643509;veh_passenger
;;900.97;best;;-132070843#3;veh18559;1093900720#1;veh_passenger
;;901.02;best;max;1044804348;veh18560;1391153330#1;veh_passenger
;;901.07;best;;680964668#2;veh18561;158407440#3;veh_passenger
;;901.12;best;max;-1225565174;veh18562;1378635655;veh_passenger
;;901.17;best;;-1044700236#3;veh18563;898458081;veh_passenger
;;901.22;best;max;-988530891;veh18564;1046251126;veh_passenger
;;901.26;best;max;-1050950565;veh18565;1042674619#6;veh_passenger
;;901.31;best;;-253205797#4;veh18566;322248002#3;veh_passenger
;;901.36;best;;-221202411#11;veh18567;1071878440;veh_passenger
;;901.41;best;;-1054398994;veh18568;1054636876;veh_passenger
;;901.46;best;;-1392343770#2;veh18569;-548937829#5;veh_passenger
;;901.51;best;;980987339#2;veh18570;1217029871;veh_passenger
;;901.56;best;max;-1387952622;veh18571;813609100;veh_passenger
;;901.60;best;;-1432202354#0;veh18572;1041902116#3;veh_passenger
;;901.65;best;;174471202#5;veh18573;1376651158#1;veh_passenger
;;901.70;best;max;1379636774#0;veh18574;1042171909;veh_passenger
;;901.75;best;;-1071867044#0;veh18575;-1046908819#1;veh_passenger
;;901.80;best;;-1387271187;veh18576;-1071869420#1;veh_passenger
;;901.85;best;;-1431097499#2;veh18577;1054354502;veh_passenger
;;901.90;best;;-1046397073#5;veh18578;1219075008;veh_passenger
;;901.94;best;max;-1054401208;veh18579;-1053583780;veh_passenger
;;901.99;best;;1051093561#1;veh18580;-1044509111#5;veh_passenger
;;902.04;best;max;-1046451880;veh18581;-199043536#2;veh_passenger
;;902.09;best;;164420819;veh18582;-695559471#11;veh_passenger
;;902.14;best;max;1217034876;veh18583;-1043849491;veh_passenger
;;902.19;best;max;-1172960000;veh18584;1391511419#3;veh_passenger
;;902.24;best;max;-1303692104;veh18585;-1388152999#0;veh_passenger
;;902.28;best;;902529053#7;veh18586;1216000773;veh_passenger
;;902.33;best;;1206543883#5;veh18587;1389716589;veh_passenger
;;902.38;best;;-1219074966#0;veh18588;-447686387;veh_passenger
;;902.43;best;;-684329899#1;veh18589;-1189020225#1;veh_passenger
;;902.48;best;;-1385772783#1;veh18590;1216159293;veh_passenger
;;902.53;best;max;-1383686353;veh18591;1218444567;veh_passenger
;;902.58;best;max;-1052654327;veh18592;1303486396#0;veh_passenger
;;902.62;best;;-1071865177;veh18593;260127622#10;veh_passenger
;;902.67;best;;-1392552604#0;veh18594;-354997519#0;veh_passenger
;;902.72;best;max;-1217163499;veh18595;988530889;veh_passenger
;;902.77;best;;-626812975#4;veh18596;1189020226#3;veh_passenger
;;902.82;best;;924060095#1;veh18597;498379338;veh_passenger
;;902.87;best;max;-1218441620;veh18598;569821072#2;veh_passenger
;;902.92;best;;-951475191#0;veh18599;-1213512465;veh_passenger
;;902.96;best;max;-1049706474#1;veh18600;-131937269#0;veh_passenger
;;903.01;best;;1383922336;veh18601;219289287#15;veh_passenger
;;903.06;best;;-803660097#0;veh18602;54531637#0;veh_passenger
;;903.11;best;;858852297#1;veh18603;988530919;veh_passenger
;;903.16;best;max;-988530887;veh18604;1044700255#3;veh_passenger
;;903.21;best;;-155830962#0;veh18605;1049880651;veh_passenger
;;903.26;best;max;-898458111;veh18606;-1367635009#0;veh_passenger
;;903.30;best;;-858852308#0;veh18607;680393834#2;veh_passenger
;;903.35;best;max;1394926988#0;veh18608;1207151947;veh_passenger
;;903.40;best;max;-1153978206;veh18609;1054399006#1;veh_passenger
;;903.45;best;;232973375#2;veh18610;1369890044#1;veh_passenger
;;903.50;best;max;253205794#0;veh18611;-548937810#5;veh_passenger
;;903.55;best;;-1055092056#0;veh18612;1055092045;veh_passenger
;;903.60;best;max;-1386919736;veh18613;1054260685;veh_passenger
;;903.64;best;;-260126083#0;veh18614;-689730984#9;veh_passenger
;;903.69;best;;-680950028#25;veh18615;1393438011;veh_passenger
;;903.74;best;max;-1045265895;veh18616;-310880285#3;veh_passenger
;;903.79;best;;1387154200;veh18617;1385710912;veh_passenger
;;903.84;best;;221619117;veh18618;1054260698;veh_passenger
;;903.89;best;;981562496;veh18619;1216004342;veh_passenger
;;903.94;best;max;1385753731;veh18620;1046451448#8;veh_passenger
;;903.98;best;max;-1383726002;veh18621;825838521;veh_passenger
;;904.03;best;;-1376073010#0;veh18622;-158354653#6;veh_passenger
;;904.08;best;max;-1394926990;veh18623;1218993909;veh_passenger
;;904.13;best;;-1054408535#0;veh18624;319423449#0;veh_passenger
;;904.18;best;;1047218428;veh18625;-684343620#1;veh_passenger
;;904.23;best;;131709941#2;veh18626;1055311649;veh_passenger
;;904.27;best;;1071860446;veh18627;-130514065#1;veh_passenger
;;904.32;best;;626720915#1;veh18628;1383922329#0;veh_passenger
;;904.37;best;max;1219085704#0;veh18629;1054408538;veh_passenger
;;904.42;best;;252036569#5;veh18630;1385746002#2;veh_passenger
;;904.47;best;;231770256#6;veh18631;1071878466;veh_passenger
;;904.52;best;;155838431#5;veh18632;318106703#2;veh_passenger
;;904.57;best;;-1049123387#6;veh18633;-1383929084#0;veh_passenger
;;904.61;best;;-447686382#1;veh18634;1050106651;veh_passenger
;;904.66;best;max;-1055130145;veh18635;1054408540#0;veh_passenger
;;904.71;best;max;-1217255186;veh18636;1459470338;veh_passenger
;;904.76;best;max;-1386522655;veh18637;1218993737;veh_passenger
;;904.81;best;;-1045129812#0;veh18638;-1043849473;veh_passenger
;;904.86;best;max;-1385774533#2;veh18639;325440932#1;veh_passenger
;;904.91;best;max;1348658739;veh18640;1217169042;veh_passenger
;;904.95;best;;219225827#1;veh18641;858852314;veh_passenger
;;905.00;best;max;-1386041756;veh18642;-1390670304;veh_passenger
;;905.05;best;max;1218439298;veh18643;-1215977099;veh_passenger
;;905.10;best;;-1367271672#3;veh18644;-219289280#1;veh_passenger
;;905.15;best;;1050556370#1;veh18645;-1050991032#1;veh_passenger
;;905.20;best;;-1042674620#1;veh18646;-1044462487#0;veh_passenger
;;905.25;best;max;-1049113084;veh18647;427760260;veh_passenger
;;905.29;best;;-218032586#11;veh18648;-1216004330;veh_passenger
;;905.34;best;max;-1046565671;veh18649;1217164174;veh_passenger
;;905.39;best;;1381084653#3;veh18650;-319899820#11;veh_passenger
;;905.44;best;;1055131831#0;veh18651;1052654321#0;veh_passenger
;;905.49;best;;902920457#1-AddedOffRampEdge;veh18652;-1389313867;veh_passenger
;;905.54;best;max;-1383929087;veh18653;1084004616#1;veh_passenger
;;905.59;best;max;-1050556374#2;veh18654;1219040360;veh_passenger
;;905.63;best;;-1215281615#0;veh18655;1042896335;veh_passenger
;;905.68;best;;-1043781982#5;veh18656;1216919419;veh_passenger
;;905.73;best;max;-1384918003;veh18657;44770393#19;veh_passenger
;;905.78;best;;1049873889#2;veh18658;-1046292284;veh_passenger
;;905.83;best;max;-1051093574;veh18659;-902523992#1;veh_passenger
;;905.88;best;;-131937264#0;veh18660;1046119836;veh_passenger
;;905.93;best;;158367054#5;veh18661;849862402#2;veh_passenger
;;905.97;best;max;-1049877269#1;veh18662;-218858282#27;veh_passenger
;;906.02;best;max;1071872428;veh18663;-1055098852#5;veh_passenger
;;906.07;best;;1049880660#5;veh18664;1053900906#1;veh_passenger
;;906.12;best;;-83229105#1;veh18665;-1210294412#0;veh_passenger
;;906.17;best;;585630247#13;veh18666;1042925575;veh_passenger
;;906.22;best;;585630247#3;veh18667;158366257#8;veh_passenger
;;906.27;best;max;988548325;veh18668;-1042245451#0;veh_passenger
;;906.31;best;;548937825#5;veh18669;1382527769#1;veh_passenger
;;906.36;best;max;1084017422;veh18670;988553276#2;veh_passenger
;;906.41;best;;825108510#5;veh18671;-187799865#10;veh_passenger
;;906.46;best;;-1207990357#3;veh18672;221853654#3;veh_passenger
;;906.51;best;;-26209727#1;veh18673;1226409515;veh_passenger
;;906.56;best;max;-1044571693;veh18674;239322891#0;veh_passenger
;;906.61;best;;222000227#2;veh18675;-1214501930;veh_passenger
;;906.65;best;;234273810#4;veh18676;-548937854;veh_passenger
;;906.70;best;max;-1071860448;veh18677;-1368972255#0;veh_passenger
;;906.75;best;max;1394926988#0;veh18678;980987334#2;veh_passenger
;;906.80;best;;1041999199#6;veh18679;-1369859091#0;veh_passenger
;;906.85;best;max;218858281#0;veh18680;83229104#7;veh_passenger
;;906.90;best;;1054354500#1;veh18681;-354991413#0;veh_passenger
;;906.94;best;;865573709#6;veh18682;1049077833#0;veh_passenger
;;906.99;best;max;-1188023733;veh18683;1044570808;veh_passenger
;;907.04;best;max;-1218993632;veh18684;1378890616#1;veh_passenger
;;907.09;best;max;-1430223646#1;veh18685;1046482188;veh_passenger
;;907.14;best;max;-1071860436;veh18686;131937264#5;veh_passenger
;;907.19;best;;176068095#3;veh18687;922333618#1;veh_passenger
;;907.24;best;;-1218993849#1;veh18688;1042133612;veh_passenger
;;907.28;best;max;1213588026;veh18689;22838319#6;veh_passenger
;;907.33;best;;1432202354#3;veh18690;-1088731473#0;veh_passenger
;;907.38;best;;-1043813726#1;veh18691;1432203301;veh_passenger
;;907.43;best;;630855196#2;veh18692;1041999193#0;veh_passenger
;;907.48;best;max;-1049847049#3;veh18693;-849845960#0;veh_passenger
;;907.53;best;max;-1217037561;veh18694;-1071860466#1;veh_passenger
;;907.58;best;max;-1051093561#2;veh18695;803678526;veh_passenger
;;907.62;best;;1006861078#1;veh18696;556414774#1;veh_passenger
;;907.67;best;;680964666#23;veh18697;172366589;veh_passenger
;;907.72;best;max;-1390298712;veh18698;221197325#2;veh_passenger
;;907.77;best;max;-1055017956;veh18699;1046564417#1;veh_passenger
;;907.82;best;;132070862#1;veh18700;158354653#24;veh_passenger
;;907.87;best;;1085268783#0;veh18701;-379260331#7;veh_passenger
;;907.92;best;max;378246874#0;veh18702;1389254065;veh_passenger
;;907.96;best;;988202994#0;veh18703;1217255585;veh_passenger
;;908.01;best;max;-1392063156;veh18704;26182677#3;veh_passenger
;;908.06;best;;27188984#0;veh18705;1044462502#1;veh_passenger
;;908.11;best;;-1367271688;veh18706;1042418415#1;veh_passenger
;;908.16;best;;158306185#0;veh18707;-1383686364#1;veh_passenger
;;908.21;best;max;-1322053906;veh18708;320044835#4;veh_passenger
;;908.26;best;;1219040327#1;veh18709;1044804349;veh_passenger
;;908.30;best;;229908892#3;veh18710;1358531892;veh_passenger
;;908.35;best;;1071865172;veh18711;1047691390#1;veh_passenger
;;908.40;best;;-1051068192#0;veh18712;1385070281#1;veh_passenger
;;908.45;best;;-319899820#4;veh18713;27191050#4;veh_passenger
;;908.50;best;;231770259#1;veh18714;1386107129#1;veh_passenger
;;908.55;best;;-1055098826#0;veh18715;1392511134#1;veh_passenger
;;908.60;best;max;-1051068189;veh18716;-1217164182#0;veh_passenger
;;908.64;best;max;-802121100;veh18717;219780377#20;veh_passenger
;;908.69;best;max;-1050106650;veh18718;-1053937973#0;veh_passenger
;;908.74;best;;684342358#0;veh18719;-1044509109;veh_passenger
;;908.79;best;max;-1047637753;veh18720;1055088768#5;veh_passenger
;;908.84;best;;1366113632#0;veh18721;-988530871#0;veh_passenger
;;908.89;best;;322248004#1;veh18722;-1049706476;veh_passenger
;;908.94;best;max;-1071860422;veh18723;1054991206#0;veh_passenger
;;908.98;best;;-680419911#18;veh18724;26514962;veh_passenger
;;909.03;best;max;-1371592042;veh18725;-1050015313#1;veh_passenger
;;909.08;best;;-1218993849#1;veh18726;-548937860#0;veh_passenger
;;909.13;best;;319423453#23;veh18727;54531637#2;veh_passenger
;;909.18;best;max;-1219075122;veh18728;-1225889359#0;veh_passenger
;;909.23;best;;815459479#16;veh18729;-354298488#1;veh_passenger
;;909.28;best;max;-1054408528;veh18730;1046536735#1;veh_passenger
;;909.32;best;;1369419533;veh18731;-1043850956;veh_passenger
;;909.37;best;;-569821072#0;veh18732;1381947030;veh_passenger
;;909.42;best;;160320114#6;veh18733;-1055092060#1;veh_passenger
;;909.47;best;max;1389261917;veh18734;-221853655#0;veh_passenger
;;909.52;best;;1051068188#1;veh18735;132182649#4;veh_passenger
;;909.57;best;;849862402#2;veh18736;355212063#0;veh_passenger
;;909.61;best;max;-1390649431;veh18737;-320047942#1;veh_passenger
;;909.66;best;;1042133607;veh18738;988530934#3;veh_passenger
;;909.71;best;max;-1044514952;veh18739;-1303486792;veh_passenger
;;909.76;best;max;-1046398060#6;veh18740;1384651169#0;veh_passenger
;;909.81;best;;1050247219#3;veh18741;-1217168905;veh_passenger
;;909.86;best;;-1054991205;veh18742;548931359;veh_passenger
;;909.91;best;;-1042133609#2;veh18743;922333618#1;veh_passenger
;;909.95;best;;1049706459#2;veh18744;-1084017422;veh_passenger
;;910.00;best;;1046942879#1;veh18745;-1049873899#1;veh_passenger
;;910.05;best;max;-548937861#1;veh18746;44770272#12;veh_passenger
;;910.10;best;max;-1214296562;veh18747;1042925582#2;veh_passenger
;;910.15;best;;-231770255#1;veh18748;1368959163;veh_passenger
;;910.20;best;;-1215977099;veh18749;1388229840;veh_passenger
;;910.25;best;max;1367271671#0;veh18750;1045265893#2;veh_passenger
;;910.29;best;max;1217035034;veh18751;1372611130;veh_passenger
;;910.34;best;max;-1358531897;veh18752;-1217255735;veh_passenger
;;910.39;best;;-199050472#12;veh18753;-1088731473#0;veh_passenger
;;910.44;best;;-1044462489#2;veh18754;158306191#3;veh_passenger
;;910.49;best;;-155831668#15;veh18755;-1084985575#2;veh_passenger
;;910.54;best;;155831668#25;veh18756;1052654331;veh_passenger
;;910.59;best;max;1219040354#0;veh18757;-1217035364;veh_passenger
;;910.63;best;max;1217164207#0;veh18758;355212036#6;veh_passenger
;;910.68;best;max;-1042133605#3;veh18759;1051068192#2;veh_passenger
;;910.73;best;;-231770263#1;veh18760;-319977060#10;veh_passenger
;;910.78;best;;-355212033#5;veh18761;903009071#5;veh_passenger
;;910.83;best;max;-1383920717;veh18762;1050214872;veh_passenger
;;910.88;best;;-458441664#0;veh18763;1049873916;veh_passenger
;;910.93;best;;-27191048#3;veh18764;158354653#32;veh_passenger
;;910.97;best;;-156020168#1;veh18765;1054408547;veh_passenger
;;911.02;best;;1055122446#3;veh18766;1217255236;veh_passenger
;;911.07;best;;-1055092061;veh18767;219780379#2;veh_passenger
;;911.12;best;;-684340774#0;veh18768;-234273812#1;veh_passenger
;;911.17;best;max;-902926795#3;veh18769;-1217249783#1;veh_passenger
;;911.22;best;max;-1139148233#1;veh18770;841957965;veh_passenger
;;911.27;best;max;-977800022;veh18771;-132183811#1;veh_passenger
;;911.31;best;max;-1383917760;veh18772;1051093569;veh_passenger
;;911.36;best;max;-1071867061;veh18773;1043560337;veh_passenger
;;911.41;best;;-280941187#2;veh18774;-219811082;veh_passenger
;;911.46;best;max;-1394468700;veh18775;220749511#5;veh_passenger
;;911.51;best;;325440934#1;veh18776;-446711227#0;veh_passenger
;;911.56;best;;1055122447#2;veh18777;41379357#1;veh_passenger
;;911.61;best;max;1054356716#0;veh18778;-1216004328#0;veh_passenger
;;911.65;best;;1055098873;veh18779;-1049877259#1;veh_passenger
;;911.70;best;max;-987973984;veh18780;163381457#2;veh_passenger
;;911.75;best;;1383716098#1;veh18781;1376951439#3;veh_passenger
;;911.80;best;;1042966464#0;veh18782;1391762667;veh_passenger
;;911.85;best;;-962177719#1;veh18783;26182677#4;veh_passenger
;;911.90;best;;902920463#12;veh18784;1090970151;veh_passenger
;;911.95;best;;-1049877259#0;veh18785;1368683115#1;veh_passenger
;;911.99;best;max;-1055130137#1;veh18786;1389228223;veh_passenger
;;912.04;best;;1372610723#0;veh18787;-1054991189#0;veh_passenger
;;912.09;best;max;-1213222078;veh18788;-1213512466;veh_passenger
;;912.14;best;max;-1042419268#3;veh18789;1211526610;veh_passenger
;;912.19;best;max;-1044462500;veh18790;1042896336;veh_passenger
;;912.24;best;;1391551127;veh18791;-1047637742;veh_passenger
;;912.28;best;max;-1046565692;veh18792;1046496003#3;veh_passenger
;;912.33;best;;1046478129#2;veh18793;1383759261;veh_passenger
;;912.38;best;max;1217028491;veh18794;1046251130;veh_passenger
;;912.43;best;max;-1217034600;veh18795;-1055049391#1;veh_passenger
;;912.48;best;;319423441#6;veh18796;680393832#9;veh_passenger
;;912.53;best;;1042171903#6;veh18797;355391688#5;veh_passenger
;;912.58;best;;1042245470#0;veh18798;-858852293#0;veh_passenger
;;912.62;best;max;-1388169741;veh18799;446709229#14;veh_passenger
;;912.67;best;max;1218993512;veh18800;1050019354;veh_passenger
;;912.72;best;;-1391145131;veh18801;988203009;veh_passenger
;;912.77;best;max;-1390036588;veh18802;158711852#28;veh_passenger
;;912.82;best;max;-1382270695;veh18803;318106693#4;veh_passenger
;;912.87;best;max;355391692#0;veh18804;1387969738;veh_passenger
;;912.92;best;;-1386962193#0;veh18805;988505731;veh_passenger
;;912.96;best;max;-1054260679;veh18806;1042925578#5;veh_passenger
;;913.01;best;max;85695033#0;veh18807;1044462499#1;veh_passenger
;;913.06;best;max;-318106695#2;veh18808;669663045#0;veh_passenger
;;913.11;best;;1383759251#0;veh18809;1219040299;veh_passenger
;;913.16;best;max;-1071867085;veh18810;329454937#1;veh_passenger
;;913.21;best;;-1383748640;veh18811;158711852#21;veh_passenger
;;913.26;best;;924078649;veh18812;569587219;veh_passenger
;;913.30;best;;-1387154199#1;veh18813;-355391672#1;veh_passenger
;;913.35;best;;1041902154#0;veh18814;1210294425;veh_passenger
;;913.40;best;;380543962;veh18815;191450223#12;veh_passenger
;;913.45;best;;1390663471;veh18816;54531637#1-AddedOffRampEdge;veh_passenger
;;913.50;best;;199050472#10;veh18817;1055072947;veh_passenger
;;913.55;best;max;-1050106335;veh18818;234273810#2;veh_passenger
;;913.60;best;;335305604#2;veh18819;1230261701#1;veh_passenger
;;913.64;best;max;-1226409505;veh18820;-1217249753;veh_passenger
;;913.69;best;max;-1046101251;veh18821;-1051068183#5;veh_passenger
;;913.74;best;;-1041999196#1;veh18822;1045121137;veh_passenger
;;913.79;best;max;-585729759;veh18823;1071860455;veh_passenger
;;913.84;best;;904484794#0;veh18824;902524003;veh_passenger
;;913.89;best;max;-1217034521;veh18825;1383716087#1;veh_passenger
;;913.94;best;;1383743677;veh18826;1213275018;veh_passenger
;;913.98;best;;626812978#4;veh18827;1389246714;veh_passenger
;;914.03;best;;-1219040602;veh18828;-1055049389#11;veh_passenger
;;914.08;best;;1084972226#1;veh18829;-825415092;veh_passenger
;;914.13;best;;1046496003#3;veh18830;1047637757;veh_passenger
;;914.18;best;;1096320028;veh18831;1218441168;veh_passenger
;;914.23;best;;172364987#14;veh18832;1220236955;veh_passenger
;;914.28;best;;260127622#16;veh18833;1044576091;veh_passenger
;;914.32;best;;-815459479#3;veh18834;26299198#2;veh_passenger
;;914.37;best;max;-1217160270;veh18835;1043853247;veh_passenger
;;914.42;best;;1371949058;veh18836;-466855840#3;veh_passenger
;;914.47;best;;-221615232#1;veh18837;1218443869;veh_passenger
;;914.52;best;max;-1044804378;veh18838;221196841#1;veh_passenger
;;914.57;best;max;-1363487963#2;veh18839;1196028697;veh_passenger
;;914.62;best;;-1217038554#2;veh18840;-354997519#0;veh_passenger
;;914.66;best;max;-1042419271;veh18841;1054498519#1;veh_passenger
;;914.71;best;;-466855840#8;veh18842;-1044700254#0;veh_passenger
;;914.76;best;;162237275#0;veh18843;1049862897;veh_passenger
;;914.81;best;;-1384574737#2;veh18844;988553278;veh_passenger
;;914.86;best;;-1041999195#0;veh18845;804483271;veh_passenger
;;914.91;best;;-1044700278#1;veh18846;626812978#6;veh_passenger
;;914.96;best;;1370363140#1;veh18847;445649200;veh_passenger
;;915.00;best;max;-1052655889;veh18848;1219040841;veh_passenger
;;915.05;best;;378247890#1;veh18849;-980987331;veh_passenger
;;915.10;best;;-319584649#0;veh18850;-655791591#3;veh_passenger
;;915.15;best;max;-1194283126#1;veh18851;1095921945;veh_passenger
;;915.20;best;;1317499664#2;veh18852;1095843581#1;veh_passenger
;;915.25;best;max;-1071869424;veh18853;-690859297#2;veh_passenger
;;915.29;best;max;-1386461682#1;veh18854;1055299306;veh_passenger
;;915.34;best;;-331374613#1;veh18855;1430551993#1;veh_passenger
;;915.39;best;;-158407440#0;veh18856;1042192048#1;veh_passenger
;;915.44;best;max;-1215345212;veh18857;-1043107771#0;veh_passenger
;;915.49;best;max;1071867038#0;veh18858;898458101;veh_passenger
;;915.54;best;max;-1383759249;veh18859;-865573709#11;veh_passenger
;;915.59;best;max;-1384918000;veh18860;-1054187907#2;veh_passenger
;;915.63;best;;-1084651009#1;veh18861;-1369503335;veh_passenger
;;915.68;best;;-221615241#2;veh18862;-1206093986#8;veh_passenger
;;915.73;best;;-158306197#2;veh18863;1055299302;veh_passenger
